nohup: ignoring input
[full] 420 runs target on 6 7 (resumable: skips completed)
=== frame tier: 200f ===
  [11:21:37] GPU7 P1-mechC-r0.2 redkitchen/seq-03 f1000 s4
  [11:35:59] GPU6 P1-mechC-r0.3 chess/seq-03 f1000 s0
  [11:35:59] GPU7 P1-mechC-r0.3 chess/seq-03 f1000 s1
  [11:47:43] GPU6 P1-mechC-r0.3 chess/seq-03 f1000 s2
  [11:47:43] GPU7 P1-mechC-r0.3 chess/seq-03 f1000 s3
  [11:59:38] GPU6 P1-mechC-r0.3 chess/seq-03 f1000 s4
  [11:59:38] GPU7 P1-mechC-r0.3 fire/seq-03 f1000 s0
  [12:11:27] GPU6 P1-mechC-r0.3 fire/seq-03 f1000 s1
  [12:11:27] GPU7 P1-mechC-r0.3 fire/seq-03 f1000 s2
  [12:23:21] GPU6 P1-mechC-r0.3 fire/seq-03 f1000 s3
  [12:23:21] GPU7 P1-mechC-r0.3 fire/seq-03 f1000 s4
  [12:35:13] GPU6 P1-mechC-r0.3 office/seq-03 f1000 s0
  [12:35:13] GPU7 P1-mechC-r0.3 office/seq-03 f1000 s1
  [12:47:07] GPU6 P1-mechC-r0.3 office/seq-03 f1000 s2
  [12:47:07] GPU7 P1-mechC-r0.3 office/seq-03 f1000 s3
  [12:58:53] GPU6 P1-mechC-r0.3 office/seq-03 f1000 s4
  [12:58:53] GPU7 P1-mechC-r0.3 redkitchen/seq-03 f1000 s0
  [13:10:36] GPU6 P1-mechC-r0.3 redkitchen/seq-03 f1000 s1
  [13:10:36] GPU7 P1-mechC-r0.3 redkitchen/seq-03 f1000 s2
  [13:22:08] GPU6 P1-mechC-r0.3 redkitchen/seq-03 f1000 s3
  [13:22:08] GPU7 P1-mechC-r0.3 redkitchen/seq-03 f1000 s4
  [13:33:37] GPU6 P1-mechC-r0.5 chess/seq-03 f1000 s0
  [13:33:37] GPU7 P1-mechC-r0.5 chess/seq-03 f1000 s1
  [13:44:38] GPU6 P1-mechC-r0.5 chess/seq-03 f1000 s2
  [13:44:38] GPU7 P1-mechC-r0.5 chess/seq-03 f1000 s3
  [13:55:39] GPU6 P1-mechC-r0.5 chess/seq-03 f1000 s4
  [13:55:39] GPU7 P1-mechC-r0.5 fire/seq-03 f1000 s0
  [14:06:23] GPU6 P1-mechC-r0.5 fire/seq-03 f1000 s1
  [14:06:23] GPU7 P1-mechC-r0.5 fire/seq-03 f1000 s2
  [14:17:16] GPU6 P1-mechC-r0.5 fire/seq-03 f1000 s3
  [14:17:16] GPU7 P1-mechC-r0.5 fire/seq-03 f1000 s4
  [14:35:44] GPU6 P1-mechC-r0.5 office/seq-03 f1000 s0
  [14:35:44] GPU7 P1-mechC-r0.5 office/seq-03 f1000 s1
  [14:53:03] GPU6 P1-mechC-r0.5 office/seq-03 f1000 s2
  [14:53:03] GPU7 P1-mechC-r0.5 office/seq-03 f1000 s3
  [15:11:46] GPU6 P1-mechC-r0.5 office/seq-03 f1000 s4
  [15:11:46] GPU7 P1-mechC-r0.5 redkitchen/seq-03 f1000 s0
  [15:23:02] GPU6 P1-mechC-r0.5 redkitchen/seq-03 f1000 s1
  [15:23:02] GPU7 P1-mechC-r0.5 redkitchen/seq-03 f1000 s2
  [15:34:00] GPU6 P1-mechC-r0.5 redkitchen/seq-03 f1000 s3
  [15:34:00] GPU7 P1-mechC-r0.5 redkitchen/seq-03 f1000 s4
=== 1000f tier complete: 140 JSONs present ===
[full] done. Results in tools/p1_ablation_results_lyj/
